X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-122.828554,45.454952,32523,BEAVERTON MURRY OR,3050,Neighborhood Market,Retail,true,9055 SW MURRAY BLVD,BEAVERTON,WASHINGTON,OR,97008-7434,2,Open,,Y,Y,3050,No,Available,No,Available
-81.286894,28.4738150000001,32525,"ORLANDO (NARCOOSSEE), FL",3782,WM Supercenter,Retail,true,5991 S GOLDENROD RD,ORLANDO,ORANGE,FL,32822-8775,2,Open,,Y,Y,3782,No,Available,No,Available
-89.3499179999999,43.042519,32527,"MONONA, WI",3857,WM Supercenter,Retail,true,2151 ROYAL AVE,MONONA,DANE,WI,53713-4812,2,Open,,Y,Y,3857,No,,Yes,
-84.1964809999999,39.8459710000001,32528,"DAYTON (N), OH",3783,WM Supercenter,Retail,true,3465 YORK COMMONS BLVD,DAYTON,MONTGOMERY,OH,45414-2675,2,Open,,Y,Y,3783,No,Available,Yes,
-80.2006009999999,26.348257,32530,"BOCA RATON (SW), FL",3858,WM Supercenter,Retail,true,22100 S STATE ROAD 7,BOCA RATON,PALM BEACH,FL,33428-4218,2,Open,,Y,Y,3858,Yes,Available,No,Available
-122.213784,47.9143680000001,32532,EVERETT MALL WA,3053,WM Supercenter,Retail,true,1605 SE EVERETT MALL WAY,EVERETT,SNOHOMISH,WA,98208-2838,2,Open,,Y,Y,3053,No,,No,
-92.6591789999999,30.2445930000001,32533,JENNINGS LA,386,WM Supercenter,Retail,true,303 E INTERSTATE DR,JENNINGS,JEFFERSON DAVIS,LA,70546-3021,5,Open,,Y,Y,386,No,Available,Yes,Available
-84.277752,39.5662970000001,32534,"FRANKLIN, OH",3784,WM Supercenter,Retail,true,1275 E 2ND ST,FRANKLIN,WARREN,OH,45005-1994,2,Open,,Y,Y,3784,No,Available,No,Available
-80.661761,41.147548,32536,"YOUNGSTOWN, OH",3860,WM Supercenter,Retail,true,200 GOLDIE RD,YOUNGSTOWN,UNION,OH,44505-1948,2,Open,,Y,Y,3860,Yes,Available,Yes,Available
-87.2798109999999,30.395694,32537,"PENSACOLA (WARRINTON), FL",3785,WM Supercenter,Retail,true,501 N NAVY BLVD,PENSACOLA,ESCAMBIA,FL,32507-2011,2,Open,,Y,Y,3785,No,Available,No,Available
-95.756244,36.1653180000001,32538,CATOOSA OK,3055,WM Supercenter,Retail,true,19801 ROBSON RD,CATOOSA,ROGERS,OK,74015-1510,2,Open,,Y,Y,3055,No,Available,Yes,Available
-111.689643,33.319619,32539,"GILBERT (POWER), AZ",3861,WM Supercenter,Retail,true,5290 S POWER RD,GILBERT,MARICOPA,AZ,85295-8478,2,Open,,Y,Y,3861,Yes,Available,Yes,Available
-83.9219219999999,34.078384,32540,"BUFORD (E), GA",3786,WM Supercenter,Retail,true,3250 SARDIS CHURCH RD,BUFORD,GWINNETT,GA,30519-6019,2,Open,,Y,Y,3786,No,Not Available,Yes,Not Available
-98.422094,29.8014830000001,32541,BULVERDE TX,3056,WM Supercenter,Retail,true,305 SINGING OAKS,SPRING BRANCH,COMAL,TX,78070-6505,2,Open,,Y,Y,3056,No,,No,Available
-81.067352,29.2488980000001,32542,HOLLY HILL FL,3862,Neighborhood Market,Retail,true,1905 NOVA RD,HOLLY HILL,VOLUSIA,FL,32117-1421,2,Open,,Y,Y,3862,No,,No,Available
-98.678566,29.5591370000001,32544,HELOTES TX,3057,WM Supercenter,Retail,true,12550 LESLIE RD,HELOTES,BEXAR,TX,78023-4740,2,Open,,Y,Y,3057,No,,Yes,
-115.231799,36.160224,32546,"LAS VEGAS (T PINES), NV",3788,Neighborhood Market,Retail,true,6310 W CHARLESTON BLVD,LAS VEGAS,CLARK,NV,89146-1128,2,Open,,Y,Y,3788,No,Available,Yes,Available
-98.553419,29.4586390000001,32547,SAN ANTONIO TX,3058,WM Supercenter,Retail,true,918 BANDERA RD,SAN ANTONIO,BEXAR,TX,78228-4923,2,Open,,Y,Y,3058,Yes,,Yes,
-77.464594,34.751469,32548,"JACKSONVILLE (S), NC",3864,WM Supercenter,Retail,true,561 YOPP RD,JACKSONVILLE,ONSLOW,NC,28540-3591,2,Open,,Y,Y,3864,Yes,Available,Yes,Available
-111.981081,41.2321230000001,32549,"OGDEN, UT",3789,WM Supercenter,Retail,true,1959 WALL AVE,OGDEN,WEBER,UT,84401-0313,2,Open,,Y,Y,3789,No,Available,No,Available
-93.2278029999999,37.0010830000001,32550,OZARK MO,379,WM Supercenter,Retail,true,2004 W MARLER LN,OZARK,CHRISTIAN,MO,65721-7661,5,Open,,Y,Y,379,No,,No,Available
-88.022893,41.5922210000001,32551,"LOCKPORT, IL",3790,WM Supercenter,Retail,true,16241 S FARRELL RD,LOCKPORT,WILL,IL,60441-8101,2,Open,,Y,Y,3790,No,Not Available,Yes,Not Available
-90.073021,32.595986,32553,CANTON MS,3059,WM Supercenter,Retail,true,244 FEATHER LN,CANTON,MADISON,MS,39046-9793,2,Open,,Y,Y,3059,Yes,,Yes,Available
-85.656553,41.9417560000001,32554,"THREE RIVERS, MI",3791,WM Supercenter,Retail,true,101 S TOLBERT DR,THREE RIVERS,ST. JOSEPH,MI,49093-8280,2,Open,,Y,Y,3791,No,,Yes,
-82.642511,39.741029,32556,"LANCASTER, OH",3792,WM Supercenter,Retail,true,2687 N MEMORIAL DR,LANCASTER,FAIRFIELD,OH,43130-1670,2,Open,,Y,Y,3792,Yes,,Yes,Available
-86.5005409999999,34.3417860000001,32557,ARAB AL,306,WM Supercenter,Retail,true,1450 NO. BRINDLEE MT,ARAB,MARSHALL,AL,35016-5431,5,Open,,Y,Y,306,Yes,Available,Yes,Available
-104.990652,39.940341,32558,"WESTMINSTER(I25/136), CO",3867,WM Supercenter,Retail,true,200 W 136TH AVE,WESTMINSTER,ADAMS,CO,80234-1204,2,Open,,Y,Y,3867,No,Available,Yes,Available
-90.396381,32.8767070000001,32560,YAZOO CITY MS,3060,WM Supercenter,Retail,true,2129 GRAND AVE,YAZOO CITY,YAZOO,MS,39194-2312,2,Open,,Y,Y,3060,No,,No,
-93.705432,32.483754,32561,"SHREVEPORT, LA",3868,WM Supercenter,Retail,true,1125 SHREVEPORT BARKSDALE HWY,SHREVEPORT,CADDO,LA,71105-2404,2,Open,,Y,Y,3868,No,Available,Yes,Available
-122.310195,47.292601,32562,"FEDERAL WAY (S), WA",3794,WM Supercenter,Retail,true,34520 16TH AVE S,FEDERAL WAY,KING,WA,98003-6802,2,Open,,Y,Y,3794,Yes,Available,Yes,
-90.328063,38.580341,32563,SHREWSBURY MO,3061,WM Supercenter,Retail,true,7437 WATSON ROAD,SHREWSBURY,ST. LOUIS,MO,63119-0000,2,Open,,Y,Y,3061,Yes,Available,Yes,Available
-77.5660819999999,37.6040540000001,32564,"RICHMOND, VA",3869,WM Supercenter,Retail,true,1504 N PARHAM RD,RICHMOND,HENRICO,VA,23229-4621,2,Open,,Y,Y,3869,No,,No,
-74.013451,40.814107,32565,"NORTH BERGEN, NJ",3795,WM Supercenter,Retail,true,2100 88TH ST,NORTH BERGEN,HUDSON,NJ,07047-4709,2,Open,,Y,Y,3795,No,Available,Yes,Available
-93.351152,37.203427,32566,SPRINGFIELD MO,3062,Neighborhood Market,Retail,true,3536 W MOUNT VERNON ST,SPRINGFIELD,GREENE,MO,65802-0000,2,Open,,Y,Y,3062,No,,Yes,
-96.842073,35.711783,32567,CHANDLER OK,387,WM Supercenter,Retail,true,3100 E 1ST ST,CHANDLER,LINCOLN,OK,74834-9585,5,Open,,Y,Y,387,Yes,Available,Yes,Available
-117.672452,34.0826250000001,32568,"ONTARIO, CA",3796,WM Supercenter,Retail,true,1333 N MOUNTAIN AVE,ONTARIO,SAN BERNARDINO,CA,91762-1105,2,Open,,Y,Y,3796,No,Available,Yes,Available
-97.165194,32.659459,32569,"ARLINGTON, TX",3870,Neighborhood Market,Retail,true,5401 PARK SPRINGS BLVD,ARLINGTON,TARRANT,TX,76017-3418,2,Open,,Y,Y,3870,No,,Yes,Not Available
-103.218178,44.0339220000001,32575,"RAPID CITY (S), SD",3872,WM Supercenter,Retail,true,100 STUMER RD,RAPID CITY,PENNINGTON,SD,57701-6417,2,Open,,Y,Y,3872,Yes,Available,Yes,Available
